<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.08.19	17:45:00	146.264	146.404	146.217	146.364	2410	0	0
2024.08.19	18:00:00	146.364	146.494	146.355	146.462	1652	0	0
2024.08.19	18:15:00	146.462	146.557	146.431	146.540	1613	0	0
2024.08.19	18:30:00	146.540	146.714	146.503	146.659	1798	0	0
2024.08.19	18:45:00	146.662	146.664	146.379	146.424	1968	0	0
2024.08.19	19:00:00	146.424	146.445	146.389	146.415	1856	0	0
2024.08.19	19:15:00	146.415	146.505	146.394	146.496	1514	0	0
2024.08.19	19:30:00	146.497	146.582	146.467	146.581	1054	0	0
2024.08.19	19:45:00	146.581	146.597	146.478	146.501	1410	0	0
2024.08.19	20:00:00	146.502	146.549	146.461	146.498	1365	0	0
2024.08.19	20:15:00	146.497	146.609	146.497	146.589	1173	0	0
2024.08.19	20:30:00	146.590	146.619	146.529	146.555	1098	0	0
2024.08.19	20:45:00	146.555	146.577	146.507	146.541	1282	0	0
2024.08.19	21:00:00	146.540	146.551	146.492	146.538	1277	0	0
2024.08.19	21:15:00	146.538	146.562	146.483	146.531	1213	0	0
2024.08.19	21:30:00	146.531	146.609	146.522	146.596	1369	0	0
2024.08.19	21:45:00	146.596	146.690	146.575	146.655	1365	0	0
2024.08.19	22:00:00	146.655	146.680	146.606	146.612	1495	0	0
2024.08.19	22:15:00	146.612	146.624	146.565	146.603	1207	0	0
2024.08.19	22:30:00	146.603	146.609	146.554	146.571	938	0	0
2024.08.19	22:45:00	146.571	146.650	146.559	146.635	1062	0	0
2024.08.19	23:00:00	146.635	146.660	146.618	146.638	563	0	0
2024.08.19	23:15:00	146.638	146.669	146.634	146.661	374	0	0
2024.08.19	23:30:00	146.661	146.694	146.591	146.603	1006	0	0
2024.08.19	23:45:00	146.602	146.644	146.581	146.601	868	0	0
2024.08.20	00:00:00	146.548	146.577	146.514	146.577	45	0	72
2024.08.20	00:15:00	146.577	146.632	146.567	146.618	70	0	16
2024.08.20	00:30:00	146.618	146.618	146.549	146.553	78	0	35
2024.08.20	00:45:00	146.553	146.570	146.539	146.569	63	0	47
2024.08.20	01:00:00	146.569	146.613	146.537	146.552	280	0	0
2024.08.20	01:15:00	146.552	146.575	146.550	146.564	390	0	0
2024.08.20	01:30:00	146.564	146.609	146.561	146.606	289	0	0
2024.08.20	01:45:00	146.606	146.649	146.604	146.631	360	0	0
2024.08.20	02:00:00	146.631	146.806	146.611	146.785	1462	0	0
2024.08.20	02:15:00	146.785	146.870	146.785	146.836	1056	0	0
2024.08.20	02:30:00	146.836	146.842	146.687	146.744	1003	0	0
2024.08.20	02:45:00	146.745	146.777	146.669	146.711	1337	0	0
2024.08.20	03:00:00	146.711	146.724	146.201	146.355	2997	0	0
2024.08.20	03:15:00	146.355	146.544	146.339	146.524	2765	0	0
2024.08.20	03:30:00	146.523	146.549	146.367	146.388	2223	0	0
2024.08.20	03:45:00	146.387	146.398	146.183	146.346	2821	0	0
2024.08.20	04:00:00	146.347	146.389	145.847	146.084	3083	0	0
2024.08.20	04:15:00	146.084	146.297	146.053	146.274	2333	0	0
2024.08.20	04:30:00	146.274	146.535	146.273	146.417	2684	0	0
2024.08.20	04:45:00	146.418	146.448	146.255	146.341	2443	0	0
2024.08.20	05:00:00	146.341	146.672	146.300	146.520	2360	0	0
2024.08.20	05:15:00	146.521	146.647	146.502	146.640	2195	0	0
