<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.04.10	01:00:00	1.08568	1.08588	1.08562	1.08588	543	0	0
2024.04.10	02:00:00	1.08588	1.08599	1.08577	1.08588	744	0	0
2024.04.10	03:00:00	1.08588	1.08590	1.08551	1.08572	1933	0	0
2024.04.10	04:00:00	1.08572	1.08590	1.08515	1.08545	2701	0	0
2024.04.10	05:00:00	1.08545	1.08556	1.08509	1.08535	2487	0	0
2024.04.10	06:00:00	1.08536	1.08544	1.08521	1.08531	1367	0	0
2024.04.10	07:00:00	1.08531	1.08536	1.08505	1.08526	1310	0	0
2024.04.10	08:00:00	1.08526	1.08557	1.08513	1.08519	1673	0	0
2024.04.10	09:00:00	1.08518	1.08549	1.08479	1.08535	3633	0	0
2024.04.10	10:00:00	1.08534	1.08572	1.08510	1.08554	3856	0	0
2024.04.10	11:00:00	1.08554	1.08607	1.08514	1.08605	3493	0	0
2024.04.10	12:00:00	1.08605	1.08656	1.08567	1.08617	2799	0	0
2024.04.10	13:00:00	1.08617	1.08659	1.08604	1.08646	2732	0	0
2024.04.10	14:00:00	1.08646	1.08666	1.08550	1.08556	3107	0	0
2024.04.10	15:00:00	1.08556	1.08650	1.07783	1.07808	10507	0	0
2024.04.10	16:00:00	1.07808	1.07812	1.07495	1.07509	10747	0	0
2024.04.10	17:00:00	1.07510	1.07671	1.07458	1.07533	7565	0	0
2024.04.10	18:00:00	1.07533	1.07548	1.07334	1.07368	4910	0	0
2024.04.10	19:00:00	1.07368	1.07375	1.07288	1.07359	3875	0	0
2024.04.10	20:00:00	1.07360	1.07544	1.07291	1.07507	7417	0	0
2024.04.10	21:00:00	1.07507	1.07543	1.07351	1.07363	6431	0	0
2024.04.10	22:00:00	1.07363	1.07456	1.07357	1.07439	4724	0	0
2024.04.10	23:00:00	1.07439	1.07457	1.07414	1.07422	1450	0	0
2024.04.11	00:00:00	1.07421	1.07442	1.07371	1.07418	962	0	1
2024.04.11	01:00:00	1.07418	1.07438	1.07402	1.07433	741	0	0
2024.04.11	02:00:00	1.07433	1.07448	1.07394	1.07412	1943	0	0
2024.04.11	03:00:00	1.07412	1.07460	1.07383	1.07427	3827	0	0
2024.04.11	04:00:00	1.07426	1.07469	1.07411	1.07462	4133	0	0
2024.04.11	05:00:00	1.07462	1.07470	1.07443	1.07455	2601	0	0
2024.04.11	06:00:00	1.07455	1.07490	1.07445	1.07448	2060	0	0
2024.04.11	07:00:00	1.07448	1.07466	1.07440	1.07463	1389	0	0
2024.04.11	08:00:00	1.07463	1.07473	1.07429	1.07430	1976	0	0
2024.04.11	09:00:00	1.07430	1.07430	1.07267	1.07284	3922	0	0
2024.04.11	10:00:00	1.07284	1.07449	1.07280	1.07431	5968	0	0
2024.04.11	11:00:00	1.07431	1.07498	1.07384	1.07406	4623	0	0
2024.04.11	12:00:00	1.07406	1.07409	1.07290	1.07310	4417	0	0
2024.04.11	13:00:00	1.07310	1.07339	1.07262	1.07299	4130	0	0
2024.04.11	14:00:00	1.07299	1.07343	1.07255	1.07285	3995	0	0
2024.04.11	15:00:00	1.07285	1.07470	1.07091	1.07416	11506	0	0
2024.04.11	16:00:00	1.07416	1.07566	1.07282	1.07348	9836	0	0
2024.04.11	17:00:00	1.07348	1.07349	1.06992	1.07052	7334	0	0
2024.04.11	18:00:00	1.07052	1.07215	1.07021	1.07208	5602	0	0
2024.04.11	19:00:00	1.07211	1.07234	1.07136	1.07176	4772	0	0
2024.04.11	20:00:00	1.07176	1.07298	1.07152	1.07277	4859	0	0
2024.04.11	21:00:00	1.07277	1.07345	1.07250	1.07256	3367	0	0
2024.04.11	22:00:00	1.07256	1.07320	1.07253	1.07288	2891	0	0
2024.04.11	23:00:00	1.07288	1.07291	1.07254	1.07258	974	0	0
2024.04.12	00:00:00	1.07256	1.07278	1.07225	1.07263	303	0	1
2024.04.12	01:00:00	1.07263	1.07295	1.07263	1.07282	628	0	0
2024.04.12	02:00:00	1.07282	1.07283	1.07238	1.07262	970	0	0
2024.04.12	03:00:00	1.07262	1.07277	1.07225	1.07259	2182	0	0
2024.04.12	04:00:00	1.07260	1.07283	1.07230	1.07244	3242	0	0
2024.04.12	05:00:00	1.07245	1.07276	1.07233	1.07266	2441	0	0
2024.04.12	06:00:00	1.07266	1.07268	1.07152	1.07170	1866	0	0
2024.04.12	07:00:00	1.07170	1.07176	1.07108	1.07113	1541	0	0
2024.04.12	08:00:00	1.07113	1.07142	1.07107	1.07115	1973	0	0
2024.04.12	09:00:00	1.07115	1.07122	1.06811	1.06832	5299	0	0
2024.04.12	10:00:00	1.06832	1.06874	1.06747	1.06843	5550	0	0
2024.04.12	11:00:00	1.06843	1.06851	1.06707	1.06711	4249	0	0
2024.04.12	12:00:00	1.06712	1.06749	1.06551	1.06605	4596	0	0
2024.04.12	13:00:00	1.06605	1.06610	1.06441	1.06469	4132	0	0
