<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.07.05	22:00:00	225.18	226.39	225.16	226.23	3239	0	11
2024.07.08	16:00:00	227.25	227.26	223.35	223.57	3965	0	11
2024.07.08	17:00:00	223.60	225.75	223.20	225.32	5946	0	11
2024.07.08	18:00:00	225.33	226.94	225.32	226.44	3686	0	11
2024.07.08	19:00:00	226.43	226.70	225.73	226.62	3245	0	11
2024.07.08	20:00:00	226.63	227.00	226.20	226.41	2188	0	11
2024.07.08	21:00:00	226.40	227.38	226.35	226.91	3012	0	11
2024.07.08	22:00:00	226.91	227.78	226.67	227.74	3559	0	11
2024.07.09	16:00:00	227.95	228.18	226.29	228.10	3987	0	11
2024.07.09	17:00:00	228.10	229.32	227.23	228.36	7400	0	11
2024.07.09	18:00:00	228.36	228.39	227.41	228.15	4684	0	11
2024.07.09	19:00:00	228.15	228.48	227.65	228.46	3258	0	11
2024.07.09	20:00:00	228.46	228.66	227.80	228.04	3084	0	11
2024.07.09	21:00:00	228.03	228.47	227.83	228.23	2330	0	11
2024.07.09	22:00:00	228.23	228.72	228.10	228.62	2877	0	11
2024.07.10	16:00:00	229.28	231.31	229.19	231.25	5683	0	11
2024.07.10	17:00:00	231.25	231.66	230.12	230.22	7715	0	11
2024.07.10	18:00:00	230.22	231.34	230.05	231.22	5460	0	11
2024.07.10	19:00:00	231.22	232.68	230.88	231.25	7316	0	11
2024.07.10	20:00:00	231.25	232.10	230.66	231.91	5837	0	11
2024.07.10	21:00:00	231.91	232.11	231.56	232.10	3553	0	11
2024.07.10	22:00:00	232.09	233.01	231.58	232.81	4046	0	11
2024.07.11	16:00:00	231.48	232.29	230.07	231.77	5474	0	11
2024.07.11	17:00:00	231.77	232.07	226.58	226.60	13437	0	11
2024.07.11	18:00:00	226.59	227.65	225.71	226.80	13128	0	11
2024.07.11	19:00:00	226.80	228.65	226.64	227.64	7848	0	11
2024.07.11	20:00:00	227.64	228.20	226.52	226.75	7974	0	11
2024.07.11	21:00:00	226.75	227.96	226.68	227.81	6315	0	11
2024.07.11	22:00:00	227.81	228.64	227.55	227.55	8345	0	11
2024.07.12	16:00:00	229.02	231.33	228.60	231.27	5084	0	11
2024.07.12	17:00:00	231.29	232.07	230.23	231.78	7478	0	11
2024.07.12	18:00:00	231.78	232.32	230.78	230.85	5938	0	11
2024.07.12	19:00:00	230.85	231.40	230.46	231.39	4702	0	11
2024.07.12	20:00:00	231.39	232.58	231.26	232.23	3784	0	11
2024.07.12	21:00:00	232.23	232.42	231.80	232.16	2947	0	11
2024.07.12	22:00:00	232.16	232.20	229.84	230.42	6942	0	11
2024.07.15	16:00:00	236.47	237.10	233.27	234.44	7150	0	11
2024.07.15	17:00:00	234.44	235.56	234.07	235.44	8421	0	11
2024.07.15	18:00:00	235.44	236.26	234.60	235.02	7377	0	11
2024.07.15	19:00:00	235.02	235.82	234.42	235.40	8174	0	11
2024.07.15	20:00:00	235.39	235.43	234.05	234.48	8140	0	11
2024.07.15	21:00:00	234.48	234.79	233.85	234.73	5349	0	11
2024.07.15	22:00:00	234.73	235.01	233.03	234.35	9402	0	11
2024.07.16	16:00:00	235.11	236.20	233.93	234.31	4049	0	11
2024.07.16	17:00:00	234.31	234.67	232.95	234.02	8560	0	11
2024.07.16	18:00:00	234.03	234.85	233.75	233.84	6424	0	11
2024.07.16	19:00:00	233.84	234.18	232.26	233.51	6370	0	11
2024.07.16	20:00:00	233.51	234.14	233.21	234.06	4207	0	11
2024.07.16	21:00:00	234.06	234.81	233.63	234.72	3742	0	11
2024.07.16	22:00:00	234.72	234.92	234.23	234.74	4602	0	11
2024.07.17	16:00:00	229.39	231.36	227.85	228.96	7381	0	11
2024.07.17	17:00:00	228.96	229.01	226.58	227.70	12214	0	11
2024.07.17	18:00:00	227.70	228.95	227.66	228.67	9428	0	11
2024.07.17	19:00:00	228.66	228.83	228.20	228.65	8928	0	11
2024.07.17	20:00:00	228.64	228.86	228.09	228.56	6995	0	11
2024.07.17	21:00:00	228.56	229.74	228.44	229.14	6371	0	11
2024.07.17	22:00:00	229.14	229.76	228.50	228.80	9143	0	11
2024.07.18	16:00:00	230.14	230.34	226.52	226.96	6160	0	11
2024.07.18	17:00:00	226.96	228.60	225.07	226.52	12797	0	11
2024.07.18	18:00:00	226.54	226.61	222.39	223.43	12993	0	11
2024.07.18	19:00:00	223.42	224.17	222.40	224.15	10234	0	11
2024.07.18	20:00:00	224.15	225.13	223.43	224.63	9543	0	11
2024.07.18	21:00:00	224.64	224.96	224.09	224.73	8597	0	11
2024.07.18	22:00:00	224.73	225.10	223.39	224.15	13151	0	11
2024.07.19	16:00:00	224.85	226.53	224.34	225.76	4859	0	11
2024.07.19	17:00:00	225.73	226.73	224.56	224.71	10811	0	11
2024.07.19	18:00:00	224.74	225.20	223.49	224.92	8544	0	11
2024.07.19	19:00:00	224.92	224.93	223.21	223.92	6824	0	11
2024.07.19	20:00:00	223.92	224.72	223.41	224.55	6750	0	11
2024.07.19	21:00:00	224.55	224.89	223.82	224.38	6225	0	11
2024.07.19	22:00:00	224.38	225.06	223.95	224.28	8240	0	11
2024.07.22	16:00:00	227.25	227.62	225.51	226.64	5062	0	11
2024.07.22	17:00:00	226.64	227.72	225.72	225.92	11374	0	11
2024.07.22	18:00:00	225.92	226.17	223.15	223.95	8801	0	11
2024.07.22	19:00:00	223.95	224.27	223.03	224.20	6286	0	11
2024.07.22	20:00:00	224.20	225.18	223.95	225.13	5092	0	11
2024.07.22	21:00:00	225.13	225.56	224.87	225.08	4100	0	11
2024.07.22	22:00:00	225.08	225.15	223.71	223.84	7122	0	11
2024.07.23	16:00:00	224.29	224.57	222.57	224.07	5237	0	11
2024.07.23	17:00:00	224.07	225.08	223.92	224.58	11823	0	11
2024.07.23	18:00:00	224.58	226.87	224.49	226.55	8251	0	11
2024.07.23	19:00:00	226.55	226.59	225.02	225.18	8237	0	11
2024.07.23	20:00:00	225.18	225.33	224.49	224.95	6657	0	11
2024.07.23	21:00:00	224.95	224.98	224.26	224.72	5372	0	11
2024.07.23	22:00:00	224.72	225.18	224.26	224.90	6486	0	11
2024.07.24	16:00:00	224.10	224.69	220.63	221.23	5529	0	11
2024.07.24	17:00:00	221.23	221.35	218.75	218.78	9367	0	11
2024.07.24	18:00:00	218.77	219.12	217.96	217.96	7211	0	11
2024.07.24	19:00:00	217.96	218.49	217.06	217.76	6707	0	11
2024.07.24	20:00:00	217.73	218.48	217.69	218.13	5548	0	11
2024.07.24	21:00:00	218.13	218.80	217.75	218.11	6508	0	11
2024.07.24	22:00:00	218.10	218.72	217.62	218.50	9019	0	11
2024.07.25	16:00:00	219.15	219.76	215.00	215.50	6334	0	11
2024.07.25	17:00:00	215.50	218.49	214.55	218.47	11354	0	11
2024.07.25	18:00:00	218.47	219.34	217.70	219.25	7358	0	11
2024.07.25	19:00:00	219.25	220.80	218.74	220.14	6435	0	11
2024.07.25	20:00:00	220.14	220.71	219.20	220.29	6352	0	11
2024.07.25	21:00:00	220.29	220.37	218.57	218.57	6280	0	11
2024.07.25	22:00:00	218.57	220.36	217.26	217.41	8818	0	11
2024.07.26	16:00:00	218.92	218.99	216.20	217.54	5534	0	11
2024.07.26	17:00:00	217.52	217.88	215.96	217.45	8641	0	11
2024.07.26	18:00:00	217.45	218.82	217.33	218.43	5805	0	11
2024.07.26	19:00:00	218.44	219.43	218.36	219.20	4582	0	11
2024.07.26	20:00:00	219.20	219.34	217.62	218.02	6212	0	11
2024.07.26	21:00:00	218.02	218.42	217.50	217.72	6134	0	11
2024.07.26	22:00:00	217.72	218.68	217.06	217.97	7510	0	11
2024.07.29	16:00:00	217.17	219.22	215.65	218.89	4950	0	11
2024.07.29	17:00:00	218.89	219.03	217.37	217.73	6764	0	11
2024.07.29	18:00:00	217.72	218.02	216.46	217.97	5650	0	11
2024.07.29	19:00:00	217.97	218.89	217.97	218.72	4459	0	11
2024.07.29	20:00:00	218.72	219.20	218.26	218.29	3930	0	11
2024.07.29	21:00:00	218.29	218.71	217.92	218.51	4291	0	11
2024.07.29	22:00:00	218.51	219.06	217.93	218.18	5392	0	11
2024.07.30	16:00:00	218.87	220.26	218.51	219.56	5381	0	11
2024.07.30	17:00:00	219.54	219.99	217.98	218.65	8370	0	11
2024.07.30	18:00:00	218.65	218.75	216.27	216.47	11016	0	11
2024.07.30	19:00:00	216.48	217.16	216.09	216.10	7839	0	11
2024.07.30	20:00:00	216.13	217.55	216.05	217.52	7942	0	11
2024.07.30	21:00:00	217.52	218.68	217.51	218.15	5729	0	11
2024.07.30	22:00:00	218.15	219.85	217.91	218.62	10230	0	11
2024.07.31	16:00:00	221.41	222.58	220.55	221.90	5808	0	11
2024.07.31	17:00:00	221.92	223.75	221.78	222.55	9730	0	11
2024.07.31	18:00:00	222.54	223.30	222.24	222.48	7682	0	11
2024.07.31	19:00:00	222.50	222.70	222.02	222.47	6995	0	11
2024.07.31	20:00:00	222.46	222.94	221.25	222.09	6549	0	11
2024.07.31	21:00:00	222.09	223.30	221.87	222.60	8610	0	11
2024.07.31	22:00:00	222.60	222.96	221.21	221.91	13902	0	11
2024.08.01	16:00:00	224.06	224.23	222.47	224.17	4015	0	11
2024.08.01	17:00:00	224.19	224.19	220.29	220.90	7833	0	11
2024.08.01	18:00:00	220.90	221.12	219.15	219.72	6141	0	11
2024.08.01	19:00:00	219.73	220.11	218.39	218.66	4671	0	11
2024.08.01	20:00:00	218.65	218.84	217.14	218.57	4540	0	11
2024.08.01	21:00:00	218.57	218.70	216.96	217.43	5462	0	11
2024.08.01	22:00:00	217.43	219.04	217.05	218.40	8229	0	11
2024.08.02	16:00:00	219.77	224.34	217.67	223.15	7663	0	11
2024.08.02	17:00:00	223.15	224.31	220.59	222.35	9731	0	11
2024.08.02	18:00:00	222.35	223.59	221.35	223.11	9094	0	11
2024.08.02	19:00:00	223.11	225.52	222.66	224.15	10804	0	11
2024.08.02	20:00:00	224.14	225.21	223.24	224.12	9380	0	11
2024.08.02	21:00:00	224.12	224.17	221.85	222.63	8743	0	11
2024.08.02	22:00:00	222.63	223.32	218.96	219.65	12191	0	11
2024.08.05	16:00:00	198.13	210.84	195.95	207.34	12219	0	11
2024.08.05	17:00:00	207.33	210.87	207.33	209.47	14853	0	11
2024.08.05	18:00:00	209.47	213.39	208.68	210.27	9990	0	11
2024.08.05	19:00:00	210.27	212.86	209.63	210.28	6366	0	11
2024.08.05	20:00:00	210.28	211.81	209.86	210.66	7599	0	11
2024.08.05	21:00:00	210.64	210.88	203.88	204.70	8669	0	11
2024.08.05	22:00:00	204.70	209.24	204.01	209.24	10108	0	11
2024.08.06	16:00:00	205.36	206.15	201.01	203.06	6153	0	11
2024.08.06	17:00:00	203.06	207.61	202.34	207.47	6905	0	11
2024.08.06	18:00:00	207.47	208.45	205.97	208.39	6092	0	11
2024.08.06	19:00:00	208.39	209.92	208.19	209.61	4021	0	11
2024.08.06	20:00:00	209.59	209.66	208.27	208.46	4135	0	11
2024.08.06	21:00:00	208.46	209.89	207.63	208.65	4818	0	11
2024.08.06	22:00:00	208.65	208.78	206.33	207.08	7369	0	11
2024.08.07	16:00:00	206.39	212.36	206.33	212.32	6698	0	11
2024.08.07	17:00:00	212.33	213.41	210.75	213.05	10636	0	11
2024.08.07	18:00:00	213.05	213.57	211.87	212.49	6928	0	11
2024.08.07	19:00:00	212.49	212.91	211.09	211.47	6000	0	11
2024.08.07	20:00:00	211.47	211.77	210.29	210.87	6695	0	11
2024.08.07	21:00:00	210.87	211.19	208.83	208.86	6742	0	11
2024.08.07	22:00:00	208.86	210.92	208.41	209.78	9587	0	11
2024.08.08	16:00:00	212.64	213.10	208.74	210.50	5371	0	11
2024.08.08	17:00:00	210.50	212.93	210.40	212.10	8497	0	11
2024.08.08	18:00:00	212.10	212.62	211.03	212.33	5444	0	11
2024.08.08	19:00:00	212.33	213.41	212.18	213.12	4307	0	11
2024.08.08	20:00:00	213.12	214.13	212.57	213.62	3610	0	11
2024.08.08	21:00:00	213.62	213.76	212.51	212.85	3910	0	11
2024.08.08	22:00:00	212.85	213.44	211.78	213.27	7368	0	11
2024.08.09	16:00:00	212.13	213.42	211.87	212.46	4773	0	11
2024.08.09	17:00:00	212.46	215.12	212.25	214.74	9959	0	11
2024.08.09	18:00:00	214.74	215.68	214.46	214.61	6075	0	11
2024.08.09	19:00:00	214.59	215.38	214.35	215.37	4300	0	11
2024.08.09	20:00:00	215.37	216.72	215.19	215.84	3848	0	11
2024.08.09	21:00:00	215.84	216.03	214.84	215.55	5346	0	11
2024.08.09	22:00:00	215.55	216.55	215.15	216.09	7401	0	11
2024.08.12	16:00:00	215.53	217.57	215.53	216.93	6187	0	11
2024.08.12	17:00:00	216.93	219.03	216.83	218.56	9421	0	11
2024.08.12	18:00:00	218.56	219.44	217.08	218.68	8658	0	11
2024.08.12	19:00:00	218.68	218.69	217.09	217.09	6169	0	11
2024.08.12	20:00:00	217.09	217.64	216.40	216.77	6117	0	11
2024.08.12	21:00:00	216.79	217.36	216.45	217.34	5778	0	11
2024.08.12	22:00:00	217.34	217.51	216.52	217.47	6669	0	11
2024.08.13	16:00:00	219.27	221.39	219.20	221.05	5530	0	11
2024.08.13	17:00:00	221.05	221.65	220.21	220.89	8842	0	11
2024.08.13	18:00:00	220.91	221.54	220.83	221.02	4980	0	11
2024.08.13	19:00:00	221.02	221.53	220.85	221.51	2942	0	11
2024.08.13	20:00:00	221.51	221.83	220.50	220.87	3033	0	11
2024.08.13	21:00:00	220.87	221.43	220.65	221.17	2917	0	11
2024.08.13	22:00:00	221.18	221.24	220.36	221.12	4645	0	11
2024.08.14	16:00:00	220.45	221.95	219.65	220.88	5600	0	11
2024.08.14	17:00:00	220.88	221.65	220.37	221.62	8384	0	11
2024.08.14	18:00:00	221.62	222.96	221.54	222.89	4037	0	11
2024.08.14	19:00:00	222.89	222.89	220.31	220.98	3936	0	11
2024.08.14	20:00:00	220.98	221.70	220.80	221.23	3999	0	11
2024.08.14	21:00:00	221.23	221.63	220.84	221.51	3110	0	11
2024.08.14	22:00:00	221.51	222.29	220.75	221.53	4279	0	11
2024.08.15	16:00:00	224.18	224.45	222.70	224.36	5167	0	11
2024.08.15	17:00:00	224.38	225.29	223.88	224.37	7820	0	11
2024.08.15	18:00:00	224.37	224.75	223.77	224.60	4243	0	11
2024.08.15	19:00:00	224.59	224.96	224.29	224.51	2552	0	11
2024.08.15	20:00:00	224.51	224.81	224.19	224.62	2005	0	11
2024.08.15	21:00:00	224.62	225.13	224.57	225.05	2277	0	11
2024.08.15	22:00:00	225.05	225.27	223.77	224.49	4222	0	11
2024.08.16	16:00:00	224.06	224.62	223.46	224.01	4657	0	11
2024.08.16	17:00:00	224.03	224.96	223.91	224.08	8217	0	11
2024.08.16	18:00:00	224.10	225.98	223.93	225.86	6047	0	11
2024.08.16	19:00:00	225.86	226.75	225.71	226.55	3756	0	11
2024.08.16	20:00:00	226.55	226.61	225.88	226.09	4105	0	11
2024.08.16	21:00:00	226.09	226.12	225.57	226.07	4133	0	11
2024.08.16	22:00:00	226.07	226.16	225.47	226.02	5330	0	11
2024.08.19	16:00:00	225.17	225.53	224.05	224.30	4879	0	11
