<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.12.19	11:30:00	4327.00	4331.07	4325.84	4330.61	2194	0	9
2025.12.19	11:45:00	4330.65	4333.74	4327.28	4329.50	3983	0	9
2025.12.19	12:00:00	4329.47	4331.83	4328.12	4330.24	2584	0	9
2025.12.19	12:15:00	4330.24	4331.46	4327.04	4327.33	2894	0	9
2025.12.19	12:30:00	4327.32	4327.84	4322.52	4327.28	2904	0	9
2025.12.19	12:45:00	4327.26	4329.66	4326.81	4327.81	2278	0	9
2025.12.19	13:00:00	4327.81	4329.10	4325.71	4326.49	3613	0	9
2025.12.19	13:15:00	4326.48	4328.82	4325.79	4327.22	2326	0	9
2025.12.19	13:30:00	4327.22	4327.92	4325.22	4327.37	3133	0	9
2025.12.19	13:45:00	4327.37	4329.45	4326.72	4327.27	4471	0	9
2025.12.19	14:00:00	4327.39	4327.53	4320.79	4324.10	4028	0	9
2025.12.19	14:15:00	4324.10	4327.92	4323.37	4325.70	2981	0	9
2025.12.19	14:30:00	4325.71	4328.89	4324.24	4325.85	2652	0	9
2025.12.19	14:45:00	4325.86	4327.15	4323.35	4326.76	2881	0	9
2025.12.19	15:00:00	4326.76	4334.74	4326.10	4330.19	4634	0	9
2025.12.19	15:15:00	4330.19	4335.26	4327.68	4334.94	4842	0	9
2025.12.19	15:30:00	4334.92	4335.35	4328.92	4329.53	5120	0	9
2025.12.19	15:45:00	4329.50	4332.61	4327.43	4328.43	4676	0	9
2025.12.19	16:00:00	4328.43	4334.17	4325.43	4328.06	6234	0	9
2025.12.19	16:15:00	4328.04	4330.28	4325.53	4327.92	5407	0	9
2025.12.19	16:30:00	4327.86	4337.92	4326.85	4334.75	8346	0	9
2025.12.19	16:45:00	4334.77	4335.04	4319.82	4332.66	8077	0	9
2025.12.19	17:00:00	4332.55	4345.56	4332.04	4341.65	7392	0	9
2025.12.19	17:15:00	4341.66	4346.51	4335.20	4337.71	6996	0	9
2025.12.19	17:30:00	4337.68	4344.92	4336.77	4340.10	6222	0	9
2025.12.19	17:45:00	4340.01	4349.33	4339.96	4347.92	5810	0	9
2025.12.19	18:00:00	4347.91	4354.84	4342.94	4343.05	6592	0	9
2025.12.19	18:15:00	4343.10	4347.35	4342.07	4346.98	5613	0	9
2025.12.19	18:30:00	4347.04	4350.54	4343.32	4345.70	4058	0	9
2025.12.19	18:45:00	4345.62	4351.10	4344.53	4349.88	4603	0	9
2025.12.19	19:00:00	4349.77	4353.76	4347.10	4347.12	4451	0	9
2025.12.19	19:15:00	4347.15	4352.87	4347.13	4351.93	3957	0	9
2025.12.19	19:30:00	4351.91	4353.96	4350.00	4351.48	4027	0	9
2025.12.19	19:45:00	4351.49	4356.12	4350.55	4353.55	3574	0	9
2025.12.19	20:00:00	4353.49	4354.89	4350.32	4353.76	3511	0	9
2025.12.19	20:15:00	4353.80	4356.58	4352.18	4354.37	3817	0	9
2025.12.19	20:30:00	4354.41	4354.94	4344.98	4345.06	4285	0	9
2025.12.19	20:45:00	4345.03	4349.89	4343.27	4348.61	3792	0	9
2025.12.19	21:00:00	4348.68	4350.72	4346.60	4347.32	3307	0	9
2025.12.19	21:15:00	4347.32	4349.46	4346.44	4347.69	2165	0	9
2025.12.19	21:30:00	4347.69	4350.00	4346.69	4346.88	1761	0	9
2025.12.19	21:45:00	4346.85	4348.96	4345.23	4345.34	3194	0	9
2025.12.19	22:00:00	4345.34	4346.43	4342.11	4342.47	3497	0	9
2025.12.19	22:15:00	4342.46	4345.99	4341.52	4345.35	2709	0	9
2025.12.19	22:30:00	4345.21	4345.21	4338.82	4340.48	3023	0	9
2025.12.19	22:45:00	4340.47	4340.98	4336.86	4339.56	3822	0	9
2025.12.19	23:00:00	4339.57	4340.20	4337.43	4338.93	1185	0	9
